,ID,Total - Selected places of birth for the immigrant population in private households,Arbutus-Ridge ,Downtown ,Dunbar-Southlands ,Fairview ,Grandview-Woodland ,Hastings-Sunrise ,Kensington-Cedar Cottage ,Kerrisdale ,Killarney ,Kitsilano ,Marpole ,Mount Pleasant ,Oakridge ,Renfrew-Collingwood ,Riley Park ,Shaughnessy ,South Cambie ,Strathcona ,Sunset ,Victoria-Fraserview,West End ,West Point Grey ,Vancouver CSD ,Vancouver CMA 
0,2583,  Americas,390.0,2445.0,785.0,1465.0,1050.0,1110.0,1285.0,305.0,855.0,1905.0,635.0,1150.0,290.0,955.0,585.0,195.0,220.0,340.0,935.0,665.0,2545.0,550.0,20600.0,65330.0
1,2584,    Brazil,15.0,190.0,20.0,105.0,55.0,50.0,50.0,0.0,35.0,60.0,30.0,45.0,10.0,60.0,10.0,0.0,10.0,0.0,35.0,30.0,230.0,10.0,1030.0,2855.0
2,2585,    Colombia,20.0,160.0,20.0,50.0,35.0,45.0,85.0,0.0,70.0,70.0,15.0,45.0,10.0,55.0,25.0,10.0,0.0,0.0,50.0,55.0,110.0,20.0,950.0,3080.0
3,2586,    El Salvador,0.0,25.0,10.0,25.0,65.0,110.0,115.0,0.0,90.0,35.0,35.0,45.0,10.0,180.0,15.0,0.0,0.0,30.0,125.0,130.0,85.0,0.0,1125.0,4400.0
4,2587,    Guyana,0.0,25.0,10.0,15.0,15.0,15.0,10.0,0.0,25.0,15.0,10.0,15.0,0.0,10.0,10.0,0.0,10.0,10.0,25.0,10.0,35.0,0.0,255.0,920.0
5,2588,    Haiti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,260.0
6,2589,    Jamaica,25.0,35.0,25.0,45.0,0.0,20.0,25.0,15.0,0.0,40.0,15.0,25.0,0.0,25.0,10.0,0.0,10.0,0.0,40.0,30.0,65.0,10.0,485.0,2230.0
7,2590,    Mexico,10.0,440.0,70.0,190.0,125.0,130.0,145.0,40.0,85.0,190.0,70.0,115.0,50.0,185.0,40.0,30.0,15.0,50.0,90.0,85.0,570.0,45.0,2760.0,7855.0
8,2591,    Peru,25.0,85.0,20.0,50.0,20.0,65.0,75.0,0.0,65.0,50.0,25.0,55.0,15.0,35.0,30.0,20.0,0.0,10.0,25.0,35.0,55.0,35.0,790.0,2695.0
9,2592,    Trinidad and Tobago,15.0,30.0,10.0,45.0,10.0,10.0,30.0,10.0,35.0,25.0,25.0,15.0,0.0,25.0,10.0,0.0,10.0,10.0,50.0,15.0,65.0,0.0,455.0,1940.0
10,2593,    United States,240.0,1085.0,535.0,795.0,540.0,355.0,465.0,195.0,210.0,1175.0,275.0,635.0,175.0,180.0,345.0,100.0,120.0,175.0,250.0,105.0,990.0,385.0,9295.0,26450.0
11,2594,    Other places of birth in Americas,35.0,355.0,60.0,150.0,185.0,300.0,280.0,30.0,235.0,245.0,145.0,165.0,15.0,195.0,110.0,25.0,45.0,50.0,250.0,170.0,330.0,40.0,3430.0,12645.0
12,2595,  Europe,1080.0,5580.0,1640.0,3275.0,2225.0,2320.0,2350.0,735.0,1305.0,4910.0,1355.0,2255.0,640.0,2395.0,1440.0,480.0,495.0,455.0,965.0,1055.0,5900.0,1210.0,43990.0,170930.0
13,2596,    Bosnia and Herzegovina,20.0,380.0,20.0,95.0,30.0,20.0,25.0,20.0,25.0,50.0,10.0,10.0,0.0,90.0,25.0,0.0,10.0,15.0,0.0,25.0,270.0,10.0,1160.0,3930.0
14,2597,    Croatia,40.0,125.0,15.0,70.0,105.0,140.0,50.0,10.0,25.0,65.0,25.0,40.0,40.0,70.0,20.0,10.0,0.0,0.0,0.0,60.0,95.0,25.0,1050.0,4110.0
15,2598,    France,65.0,240.0,55.0,170.0,75.0,45.0,85.0,10.0,20.0,215.0,35.0,150.0,25.0,75.0,50.0,15.0,20.0,30.0,35.0,15.0,285.0,55.0,1780.0,3440.0
16,2599,    Germany,70.0,340.0,175.0,230.0,180.0,60.0,200.0,35.0,95.0,430.0,60.0,140.0,35.0,90.0,140.0,45.0,15.0,35.0,100.0,100.0,505.0,130.0,3205.0,13515.0
17,2600,    Greece,130.0,20.0,85.0,30.0,30.0,55.0,45.0,30.0,35.0,315.0,20.0,50.0,20.0,70.0,70.0,10.0,20.0,0.0,35.0,40.0,30.0,35.0,1175.0,2885.0
18,2601,    Hungary,25.0,115.0,15.0,50.0,65.0,35.0,35.0,20.0,40.0,110.0,105.0,35.0,15.0,30.0,35.0,0.0,10.0,25.0,25.0,40.0,115.0,10.0,950.0,3705.0
19,2602,    Ireland,20.0,170.0,35.0,150.0,120.0,45.0,80.0,20.0,10.0,325.0,50.0,90.0,0.0,40.0,60.0,30.0,20.0,10.0,10.0,25.0,375.0,75.0,1755.0,3830.0
20,2603,    Italy,60.0,165.0,60.0,75.0,310.0,1120.0,260.0,20.0,105.0,140.0,25.0,80.0,15.0,505.0,75.0,10.0,20.0,15.0,60.0,195.0,185.0,15.0,3515.0,10395.0
21,2604,    Netherlands,40.0,65.0,40.0,55.0,55.0,40.0,50.0,30.0,25.0,105.0,30.0,55.0,10.0,10.0,25.0,10.0,0.0,10.0,45.0,15.0,115.0,40.0,860.0,6295.0
22,2605,    Poland,15.0,270.0,60.0,155.0,110.0,50.0,155.0,30.0,195.0,115.0,65.0,155.0,40.0,80.0,90.0,0.0,20.0,35.0,75.0,50.0,335.0,65.0,2150.0,10480.0
23,2606,    Portugal,10.0,40.0,0.0,25.0,70.0,130.0,330.0,0.0,125.0,30.0,10.0,20.0,10.0,495.0,75.0,0.0,15.0,10.0,40.0,90.0,60.0,20.0,1590.0,4660.0
24,2607,    Romania,35.0,245.0,30.0,90.0,60.0,10.0,20.0,20.0,20.0,95.0,105.0,40.0,50.0,40.0,10.0,0.0,0.0,10.0,40.0,10.0,260.0,40.0,1235.0,7110.0
25,2608,    Russian Federation,30.0,575.0,55.0,170.0,55.0,50.0,85.0,35.0,75.0,180.0,110.0,115.0,75.0,95.0,25.0,15.0,30.0,50.0,45.0,40.0,370.0,40.0,2335.0,8460.0
26,2609,    Serbia,0.0,320.0,45.0,195.0,70.0,10.0,30.0,10.0,20.0,100.0,95.0,40.0,0.0,50.0,20.0,10.0,45.0,10.0,15.0,15.0,215.0,10.0,1315.0,3780.0
27,2610,    Ukraine,0.0,280.0,20.0,55.0,10.0,0.0,70.0,25.0,25.0,115.0,50.0,90.0,30.0,70.0,30.0,0.0,10.0,0.0,65.0,20.0,225.0,20.0,1210.0,5475.0
28,2611,    United Kingdom,380.0,1445.0,790.0,1150.0,625.0,330.0,590.0,320.0,290.0,1955.0,285.0,790.0,190.0,345.0,520.0,255.0,195.0,135.0,260.0,170.0,1480.0,505.0,12970.0,56530.0
29,2612,    Other places of birth in Europe,110.0,775.0,145.0,495.0,255.0,205.0,245.0,110.0,180.0,565.0,275.0,360.0,70.0,245.0,175.0,65.0,60.0,60.0,100.0,145.0,980.0,135.0,5735.0,22325.0
30,2613,  Africa,160.0,905.0,195.0,520.0,225.0,195.0,340.0,110.0,400.0,430.0,265.0,250.0,70.0,395.0,160.0,130.0,85.0,200.0,215.0,185.0,605.0,145.0,6175.0,32100.0
31,2614,    Algeria,0.0,0.0,0.0,0.0,10.0,10.0,20.0,0.0,10.0,15.0,10.0,0.0,0.0,20.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,125.0,425.0
32,2615,    Egypt,10.0,55.0,10.0,25.0,10.0,20.0,0.0,0.0,0.0,45.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,95.0,10.0,310.0,2110.0
33,2616,    Ethiopia,0.0,35.0,0.0,30.0,20.0,35.0,45.0,0.0,55.0,10.0,25.0,10.0,0.0,45.0,10.0,0.0,0.0,45.0,35.0,20.0,15.0,10.0,440.0,1665.0
34,2617,    Kenya,10.0,125.0,15.0,65.0,30.0,15.0,25.0,15.0,40.0,30.0,25.0,30.0,0.0,55.0,15.0,10.0,15.0,35.0,20.0,15.0,80.0,15.0,680.0,4065.0
35,2618,    Morocco,10.0,20.0,0.0,20.0,20.0,0.0,15.0,10.0,15.0,25.0,10.0,10.0,0.0,15.0,10.0,10.0,10.0,10.0,0.0,0.0,25.0,0.0,210.0,730.0
36,2619,    Nigeria,0.0,25.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,15.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,130.0,1205.0
37,2620,    Somalia,0.0,10.0,0.0,0.0,20.0,0.0,10.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,0.0,100.0,1010.0
38,"2621,""    South Africa, Republic of"",75,320,130,185,50,45,95,65,50,210,85,90,35,50,75,85,50,20,45,25,160,60,1985,8205",,,,,,,,,,,,,,,,,,,,,,,,,
39,2622,    Other places of birth in Africa,60.0,300.0,45.0,185.0,75.0,60.0,125.0,30.0,225.0,90.0,90.0,85.0,35.0,185.0,50.0,25.0,15.0,90.0,80.0,105.0,200.0,40.0,2195.0,12690.0
40,2623,  Asia,6020.0,14310.0,5190.0,4035.0,3980.0,11425.0,18160.0,5410.0,12340.0,3915.0,10805.0,5095.0,6690.0,24280.0,5245.0,2685.0,1765.0,2830.0,17525.0,15895.0,6535.0,2760.0,186710.0,697305.0
41,2624,    Afghanistan,0.0,30.0,0.0,10.0,10.0,35.0,10.0,0.0,25.0,25.0,20.0,10.0,0.0,25.0,0.0,0.0,0.0,0.0,60.0,15.0,15.0,0.0,290.0,4865.0
42,2625,    Bangladesh,0.0,50.0,0.0,0.0,0.0,25.0,10.0,0.0,20.0,10.0,20.0,55.0,25.0,0.0,25.0,0.0,15.0,0.0,195.0,25.0,20.0,0.0,490.0,1870.0
43,2626,    China,3325.0,3335.0,2960.0,950.0,1685.0,5670.0,6955.0,2740.0,4135.0,995.0,4045.0,905.0,3095.0,9005.0,1550.0,1445.0,480.0,1710.0,2785.0,6715.0,770.0,1545.0,66755.0,188965.0
44,2627,    Hong Kong,940.0,1465.0,740.0,610.0,410.0,1460.0,1640.0,1050.0,2280.0,520.0,2195.0,490.0,1350.0,2915.0,760.0,370.0,390.0,230.0,1470.0,2730.0,425.0,290.0,24695.0,71720.0
45,2628,    India,110.0,460.0,85.0,145.0,105.0,240.0,795.0,130.0,805.0,255.0,295.0,235.0,260.0,1315.0,210.0,90.0,65.0,40.0,5650.0,1290.0,365.0,65.0,13000.0,125640.0
46,2629,    Iran,125.0,3415.0,60.0,335.0,90.0,120.0,115.0,80.0,85.0,310.0,185.0,220.0,115.0,140.0,75.0,30.0,50.0,30.0,95.0,40.0,1485.0,175.0,7380.0,35250.0
47,2630,    Iraq,10.0,55.0,0.0,30.0,25.0,40.0,55.0,10.0,40.0,15.0,70.0,30.0,0.0,50.0,10.0,0.0,0.0,15.0,95.0,60.0,50.0,0.0,655.0,5210.0
48,2631,    Japan,95.0,595.0,80.0,240.0,145.0,125.0,245.0,95.0,170.0,285.0,265.0,215.0,85.0,275.0,165.0,30.0,75.0,40.0,105.0,105.0,645.0,105.0,4195.0,10680.0
49,"2632,""    Korea, South"",390,1450,145,275,75,85,120,215,485,250,210,330,235,415,55,95,70,25,70,90,520,125,5700,36860",,,,,,,,,,,,,,,,,,,,,,,,,
50,2633,    Lebanon,15.0,40.0,10.0,25.0,15.0,0.0,10.0,25.0,0.0,30.0,10.0,15.0,10.0,30.0,10.0,20.0,0.0,0.0,10.0,0.0,90.0,10.0,375.0,1860.0
51,2634,    Pakistan,10.0,80.0,10.0,35.0,25.0,15.0,50.0,10.0,55.0,40.0,10.0,30.0,15.0,70.0,10.0,0.0,30.0,0.0,260.0,60.0,90.0,20.0,920.0,9225.0
52,2635,    Philippines,105.0,795.0,170.0,450.0,590.0,1245.0,4385.0,235.0,2015.0,250.0,1665.0,1375.0,320.0,5330.0,1235.0,100.0,180.0,65.0,4545.0,2695.0,695.0,45.0,28480.0,96685.0
53,2636,    Sri Lanka,10.0,55.0,25.0,10.0,15.0,45.0,225.0,0.0,60.0,35.0,30.0,90.0,0.0,145.0,20.0,0.0,0.0,0.0,440.0,55.0,30.0,15.0,1290.0,4160.0
54,2637,    Syria,20.0,40.0,0.0,10.0,10.0,15.0,20.0,0.0,0.0,20.0,10.0,0.0,10.0,0.0,10.0,15.0,0.0,40.0,30.0,0.0,15.0,0.0,270.0,2315.0
55,2638,    Taiwan,620.0,910.0,580.0,420.0,70.0,165.0,225.0,615.0,535.0,300.0,1070.0,280.0,720.0,415.0,375.0,345.0,240.0,30.0,275.0,270.0,315.0,155.0,8920.0,37425.0
56,2639,    Viet Nam,30.0,230.0,20.0,45.0,515.0,1540.0,2585.0,40.0,770.0,95.0,185.0,380.0,120.0,2575.0,370.0,15.0,35.0,430.0,740.0,1075.0,120.0,10.0,11935.0,24025.0
57,2640,    Other places of birth in Asia,235.0,1310.0,290.0,420.0,205.0,590.0,710.0,180.0,860.0,485.0,525.0,440.0,335.0,1570.0,380.0,120.0,130.0,160.0,705.0,670.0,885.0,195.0,11360.0,40565.0
58,2641,  Oceania and other places of birth,85.0,360.0,155.0,275.0,235.0,250.0,475.0,75.0,215.0,415.0,70.0,250.0,25.0,685.0,210.0,50.0,65.0,65.0,510.0,360.0,360.0,120.0,5300.0,23880.0
